JobTitle	NumDaysPosted	TimeFrame	TodayDate	CompanyName	JobLocation	LowSalaryRange	UpperSalaryRange	SalaryPeriod(per)	CompanyRating	JobSummary	JobUrl
Data Scientist H/F	30	jours	22-02-2021	Altran	Vélizy-Villacoublay (78)					"Préparation des données (pre-processing / data management).
La division ASDN d'Altran part of Capgemini est à la recherche d’un nouveau docteur pour son projet…"	https://fr.indeed.com/rc/clk?jk=4f1ab14136fc9d02&fccid=09e12974662898fb&vjs=3
Research Scientist - Translational Biology/Data Scienc	30	jours	22-02-2021	Johnson & Johnson Family of Companies	Issy-les-Moulineaux (92)				4.2	"Previous experience analyzing biological data using High performance computer/Cloud.
Knowledge of data analysis tools: RStudio, Jupyter notebook, …."	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
Data Scientist – Détection d'attaque de fraude à la carte ba...	30	jours	22-02-2021	CRÉDIT AGRICOLE PAYMENT SERVICES	Guyancourt (78)				3.9	"En 2019, la fraude sur les cartes bancaires françaises représente un montant total de 470 millions d’euros*.
Rattaché à l’équipe Data Science Factory de CA-PS,…"	https://fr.indeed.com/rc/clk?jk=bf23cc61ee6a3545&fccid=a0a72158131ae2dd&vjs=3
Data Scientist - SeqOIA	30	jours	22-02-2021	HOPITAL GUSTAVE ROUSSY	Villejuif (94)				2.2	Dans le cadre d'une politique volontariste en faveur des personnes en situation de handicap, toutes les candidatures reçues sont étudiées à compétences égales.	https://fr.indeed.com/rc/clk?jk=3a4c5adaa527c8d4&fccid=fd2f4adfd7e36c17&vjs=3
Junior Data Consultant	30	jours	22-02-2021	Artefact	Paris (75)				4.0	Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into…	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
STAGES DATA ENGINEER BI	30	jours	22-02-2021	Lobellia	Paris (75)					LOBELLIA Conseil est une société en pleine expansion d’une centaine de consultants spécialisés dans le conseil et la mise en œuvre autour des solutions de…	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Data officer	30	jours	22-02-2021	GEODIS	Levallois-Perret (92)				3.5	"Implementing data privacy policies and complying with data protection regulations.
Designing and implementing data strategies.
Niveau d'études min. requis."	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
Data Scientist assurances collectives (F/H) - 92	30	jours	22-02-2021	AXA	Nanterre (92)				3.8	"Actuarial and technical mission linked with data and partnership.
NANTERRE CEDEX, Hauts-de-Seine.
Votre rôle et vos missions.
Team player and customer-oriented."	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
DATA SCIENTIST	30	jours	22-02-2021	Aquila Consulting	Courbevoie (92)					"Ü Conception d’outils d’analyse et de data-visualisation.
Votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l…"	https://fr.indeed.com/rc/clk?jk=1074ce3b90d8e900&fccid=9852370096dc699e&vjs=3
Data scientist	30	jours	22-02-2021	FABDEV	Paris 15e (75)					Nous sommes constamment à l'écoute de nouveaux projets data, vous pourrez proposer de nouvelles idées, travaillerez en autonomie sur vos projets, mais serez…	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
Data scientist / Engineer (h/f) - Paris	30	jours	22-02-2021	Maisons du Monde	Paris (75)				3.3	Vous participez activement à la vie de l’équipe en collaborant étroitement avec les data scientists, data engineers et data analysts.	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
Data Analyst	30	jours	22-02-2021	Templeton and Partners	Paris (75)					"Monitors data profiling, data quality, data integration, data enrichment & data monitoring.
Alteryx data analytics resource who can work on Alteryx data…"	https://fr.indeed.com/rc/clk?jk=1074ce3b90d8e900&fccid=9852370096dc699e&vjs=3
Data Analyst / Data Scientist	30	jours	22-02-2021	Ametix	Levallois-Perret (92)				3.8	Vous bénéficiez d’une expérience significative dans le traitement et l’analyse de données structurées et non structurées.	https://fr.indeed.com/rc/clk?jk=1074ce3b90d8e900&fccid=9852370096dc699e&vjs=3
Data Scientist H/F	30	jours	22-02-2021	Groupama Assurances Mutuelles	Nanterre (92)					Au sein de la Direction Etudes Tarification et Pilotage, l'équipe Pilotage Technique et modélisation de risques, est en charge, au service des Directions…	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
Assistant Data Scientist (H/F)	30	jours	22-02-2021	OUI.sncf	Paris (75)				3.5	Utiliser les bonnes pratiques de code (implémentation de tests, code fonctionnel, …) pour faciliter l’industrialisation des projets data.	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Data Scientist / Data Engineer (H/F)	30	jours	22-02-2021	Nova Consulting	Paris (75)					"Vous intégrerez ce nouveau pôle composé de 2 à 3 data scientists.
Créée il y a 13 ans, Nova Consulting est une « Boutique » de Conseil en Stratégie, spécialisée…"	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Consultant(e) Data Scienc	30	jours	22-02-2021	Sia Partners	Paris 8e (75)				3.6	"Pour accompagner son développement, Sia Partners recrute des consultants data scientist.
Pionnier du Consulting 4.0, Sia Partners réinvente le métier du conseil…"	https://fr.indeed.com/rc/clk?jk=1074ce3b90d8e900&fccid=9852370096dc699e&vjs=3
Data Scientist	30	jours	22-02-2021	Fideliz	Paris 9e (75)					Diplômé d’une formation Bac +5 minimum, avec une spécialisation en statistique ou data science, vous justifiez d’une première expérience dans le domaine de la…	https://fr.indeed.com/rc/clk?jk=1074ce3b90d8e900&fccid=9852370096dc699e&vjs=3
Data Analyst H/F - CDI - Nanterr	30	jours	22-02-2021	AXA	Nanterre (92)				3.8	Support à l’équipe data engineering pour la mise en place et le test de nouvelles fonctionnalités dans l’architecture interne du datalake (data modelling,…	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
GESTIONNAIRE DATA SUPPLY CHAIN (H/F)	30	jours	22-02-2021	Sony Music	Paris (75)				4.3	"Sony Music France, un des leaders sur le marché de l’industrie musicale, recherche un(e).
Votre rôle est d’assurer la qualité et la pertinence des données des…"	https://fr.indeed.com/rc/clk?jk=3a4c5adaa527c8d4&fccid=fd2f4adfd7e36c17&vjs=3
Data Scientist (H/F)	30	jours	22-02-2021	Positive Thinking Company	Paris (75)				3.8	"Optimiser la data du service concerné.
Collecter la data grâce à votre expertise.
Vous avez environ déjà une expérience professionnelle significative en tant…"	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Data Scientist H/F - BE4897	30	jours	22-02-2021	PRO BTP GROUPE	Vincennes (94)				3.4	De formation bac +4/5 de type Ecole d'Ingénieur avec une spécialisation en data sciences, ta capacité d'organisation, ta rigueur et ton esprit analytique te…	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Un(e) Biostatisticien(ne) / Data scientist (H/F)	30	jours	22-02-2021	Institut du Cerveau et de la Moelle Épinière	Paris 13e (75)				4.3	"Un ou plusieurs biostatisticans / data scientists pour renforcer notre équipe.
Bioinformaticien(ne)s, data managers, et développeur(se)s."	https://fr.indeed.com/rc/clk?jk=3a4c5adaa527c8d4&fccid=fd2f4adfd7e36c17&vjs=3
Data scientist - h/f	30	jours	22-02-2021	Iliad	Paris (75)				3.6	Trax est une filiale du groupe Iliad (maison mère de l’opérateur Free), dédiée à la diffusion de contenu multimédia via l’application OQEE.	https://fr.indeed.com/rc/clk?jk=02bd08157e7db6ab&fccid=0f5477dfb7d07060&vjs=3
Data Scientist h/f	30	jours	22-02-2021	CHAPS VISION	Suresnes (92)					"Son objectif : constituer un ensemble cohérent, à forte valeur ajoutée data et métier pour ses clients.
A l’aise avec les grands volumes de données structurées…"	https://fr.indeed.com/company/ABD-Partners/jobs/Data-Scientist-c47c0457a9014111?fccid=c1bbfdba6f77f7b9&vjs=3
