wine_id,grape_id,grapes_share
1134803,22,30.0
1134803,32,10.0
1134803,75,5.0
1134803,8,30.0
9958,2,100.0
1115658,2,100.0
1136983,16,100.0
77471,16,100.0
74346,10,19.0
74346,2,78.0
74346,3,3.0
1161268,2,100.0
12687,10,0.0
12687,2,0.0
12687,3,0.0
12687,42,0.0
1926899,10,0.0
1926899,2,35.0
1926899,42,0.0
1926899,9,60.0
80472,2,100.0
80045,2,100.0
98166,10,0.0
98166,2,0.0
98166,42,0.0
22447,42,20.0
18980,14,100.0
1135843,10,46.0
1135843,2,51.0
1135843,42,3.0
1125543,2,100.0
16417,1,15.0
16417,10,40.0
16417,2,15.0
16417,3,30.0
1101472,142,0.0
1101472,167,0.0
1670059,10,30.0
1670059,2,25.0
1670059,3,35.0
1670059,42,10.0
1134803,32,0.0
17656,10,0.0
17656,2,0.0
17656,3,0.0
17656,42,0.0
1675,16,100.0
7772,1,96.0
7772,20,4.0
6168,1,100.0
1127516,10,5.0
1127516,2,10.0
1127516,41,85.0
1224334,19,100.0
1645929,14,100.0
80045,10,0.0
80045,2,0.0
80045,42,0.0
1126125,142,30.0
1126125,19,70.0
9712,16,100.0
8187,1,0.0
8187,226,0.0
8187,243,0.0
8187,43,0.0
96193,2,100.0
98166,2,100.0
7666,231,100.0
1652,16,0.0
1652,3,0.0
79762,2,100.0
1126888,1,0.0
1126888,10,0.0
1126888,2,0.0
1126888,3,0.0
6169,1,100.0
1161268,3,0.0
1161268,42,0.0
1178261,80,100.0
79273,10,32.0
79273,2,62.0
79273,42,6.0
1245550,19,97.0
1245550,8,3.0
12687,10,55.0
12687,2,35.0
12687,3,7.0
12687,42,3.0
1172272,10,0.0
1172272,2,0.0
1172272,3,0.0
1172272,42,0.0
22685,10,0.0
22685,2,0.0
22685,3,0.0
1176685,1,0.0
1176685,22,0.0
1176685,8,0.0
1369753,10,33.0
1369753,2,67.0
61144,12,100.0
1135843,10,100.0
78014,17,80.0
78014,18,20.0
18441,16,100.0
1148035,2,100.0
1129305,2,100.0
4086,2,66.0
4086,51,24.0
48994,2,100.0
1752790,10,100.0
1145382,10,0.0
1145382,2,0.0
1145382,3,0.0
22550,12,100.0
1658,10,0.0
1658,2,0.0
1658,3,0.0
1658,42,0.0
1133661,16,100.0
