region_id,name_en,country
886.0,Limarí Valley,Chile
477.0,South West France,France
3079.0,Alpilles,France
2389.0,Faugères,France
2231.0,Côte de Beaune Villages,France
2385.0,Minervois La Livinière,France
714.0,Ventoux,France
457.0,Fronsac,France
2390.0,Picpoul de Pinet,France
3224.0,Vaucluse,France
755.0,Patagonia,Argentina
768.0,Arbois,France
,,
1600.0,Perdriel,Argentina
2300.0,Savennières-Coulée-de-Serrant,France
643.0,Savennières,France
2740.0,Castel del Monte,Italia
3154.0,Graach,Deutschland
2775.0,Vesuvio,Italia
3334.0,Sicilia,Italia
