id,score_normalized,reviewed_at,vintage_id
3022881,88,2016-04-01T00:00:00Z,1920864
3149723,93,2018-09-30T00:00:00Z,156114360
3447856,91,2018-10-08T00:00:00Z,156114360
3488824,92,2019-03-29T00:00:00Z,156114360
1573591,84,2017-07-24T00:00:00Z,1719364
1870958,93,2017-02-28T00:00:00Z,1719364
3022796,92,2018-04-01T00:00:00Z,1719364
2668985,91,2017-12-29T00:00:00Z,91266628
3503715,92,2019-11-18T00:00:00Z,91266628
3503716,90,2014-01-01T00:00:00Z,91266628
3503841,90,2019-11-21T00:00:00Z,91266628
1486596,90,2016-09-08T00:00:00Z,4176483
1824345,88,2016-07-29T00:00:00Z,4176483
3503473,92,2018-02-28T00:00:00Z,14897931
3126303,92,2018-08-31T00:00:00Z,99339024
3331205,91,2019-01-31T00:00:00Z,4506651
3504358,92,2019-12-16T00:00:00Z,4506651
1545510,89,2016-07-19T00:00:00Z,4454098
1820256,90,2016-10-28T00:00:00Z,4454098
3120014,88,2018-08-31T00:00:00Z,6185296
3494424,90,2019-06-28T00:00:00Z,14516822
206354,95,2014-04-30T00:00:00Z,1369724
3503518,92,2019-11-07T00:00:00Z,150395474
3516427,90,2020-07-16T00:00:00Z,150395474
1545491,87,2016-07-19T00:00:00Z,4280776
1808970,87,2016-12-30T00:00:00Z,4280776
3123487,95,2018-08-31T00:00:00Z,107074474
1854054,92,2014-10-31T00:00:00Z,2695065
3112201,91,2018-08-22T00:00:00Z,2695065
3506336,91,2020-04-29T00:00:00Z,159322049
2528854,98,2017-12-01T00:00:00Z,2688109
2672490,94,2018-01-31T00:00:00Z,2688109
3028951,95,2018-06-01T00:00:00Z,2688109
3503639,91,2019-11-14T00:00:00Z,2688109
3503640,93,2019-11-14T00:00:00Z,2688109
3503678,98,2019-11-15T00:00:00Z,2688109
3504856,96,2020-01-14T00:00:00Z,2688109
226120,93,2015-12-31T00:00:00Z,1492240
214997,94,2015-12-31T00:00:00Z,2055140
235624,93,2014-06-26T00:00:00Z,1492241
1954666,90,2015-12-01T00:00:00Z,1492241
1507802,93,2017-07-12T00:00:00Z,2308474
3231911,93,2018-12-10T00:00:00Z,2308474
3231912,93,2018-12-10T00:00:00Z,2308474
3231913,94,2018-12-10T00:00:00Z,2308474
1365745,92,2012-04-10T00:00:00Z,1656393
2543235,92,2012-04-01T00:00:00Z,1656393
2663177,93,2012-04-26T00:00:00Z,1656393
3331054,93,2019-01-31T00:00:00Z,14769423
3504137,96,2019-12-05T00:00:00Z,14769423
3504138,93,2014-01-01T00:00:00Z,14769423
3504140,96,2019-12-05T00:00:00Z,14769423
3504142,94,2019-12-05T00:00:00Z,14769423
3504143,91,2014-01-01T00:00:00Z,14769423
3504144,93,2014-01-01T00:00:00Z,14769423
3504155,99,2019-12-05T00:00:00Z,14769423
3504156,96,2019-12-05T00:00:00Z,14769423
3504157,91,2019-12-05T00:00:00Z,14769423
1775593,91,2014-06-26T00:00:00Z,1436632
1952620,94,2013-02-03T00:00:00Z,1436632
2528076,94,2017-12-01T00:00:00Z,1421142
609958,95,2016-10-28T00:00:00Z,4212927
1867742,94,2017-04-28T00:00:00Z,4212927
3310822,89,2018-01-01T00:00:00Z,4212927
192633,91,2014-08-28T00:00:00Z,2273798
1486397,86,2014-08-08T00:00:00Z,2273798
1527871,86,2013-07-16T00:00:00Z,2273798
2527837,92,2012-12-01T00:00:00Z,2273798
2530255,92,2013-12-01T00:00:00Z,2273798
3507311,92,2020-06-22T00:00:00Z,156106760
3507574,90,2020-07-07T00:00:00Z,156106760
3519708,93,2020-08-12T00:00:00Z,156106760
3519709,92,2020-08-12T00:00:00Z,156106760
1796651,94,2015-10-30T00:00:00Z,3401699
2945423,91,2018-04-27T00:00:00Z,150392168
3316336,93,2019-01-30T00:00:00Z,150392168
3339538,93,2019-03-06T00:00:00Z,150392168
3339539,91,2014-01-01T00:00:00Z,150392168
3339540,75,2019-03-06T00:00:00Z,150392168
3339586,100,2019-03-08T00:00:00Z,150392168
3494432,90,2019-05-31T00:00:00Z,150392168
1606838,86,2015-07-31T00:00:00Z,2275119
3169479,89,2016-04-19T00:00:00Z,2275119
1980610,95,2017-08-09T00:00:00Z,2836706
3181253,95,2016-05-10T00:00:00Z,2836706
2949079,91,2018-04-27T00:00:00Z,15503068
3153266,91,2018-10-01T00:00:00Z,15503068
1504994,90,2016-06-12T00:00:00Z,2010131
1863095,92,2017-05-31T00:00:00Z,2010131
3494201,91,2019-05-31T00:00:00Z,96512813
3493312,92,2019-05-16T00:00:00Z,150902770
3498271,91,2019-09-03T00:00:00Z,85976696
3502788,91,2019-09-18T00:00:00Z,85976696
608593,96,2016-10-28T00:00:00Z,3012415
1383166,91,2017-01-01T00:00:00Z,3012415
2754483,92,2017-04-01T00:00:00Z,3012415
3310856,91,2018-01-01T00:00:00Z,3012415
1866769,94,2017-04-28T00:00:00Z,3953484
3226173,94,2018-10-31T00:00:00Z,3953484
3223781,90,2018-10-31T00:00:00Z,150581406
3499512,89,2019-08-30T00:00:00Z,150581406
422389,90,2017-04-28T00:00:00Z,1906084
1497167,90,2017-08-10T00:00:00Z,1906084
2779732,90,2018-04-01T00:00:00Z,1906084
219234,93,2011-05-02T00:00:00Z,1450841
1956363,92,2014-03-03T00:00:00Z,1450841
2505751,92,2011-06-01T00:00:00Z,1450841
2507810,92,2013-03-01T00:00:00Z,1450841
3177966,89,2015-04-19T00:00:00Z,1450841
218171,94,2014-10-31T00:00:00Z,1661422
1954235,94,2014-11-26T00:00:00Z,1661422
3223141,89,2018-10-31T00:00:00Z,141511224
3495421,96,2019-06-28T00:00:00Z,4381091
3504033,95,2019-12-02T00:00:00Z,4381091
3504034,96,2014-01-01T00:00:00Z,4381091
3506393,96,2020-04-30T00:00:00Z,4381091
3507101,96,2020-06-10T00:00:00Z,4381091
3507102,95,2015-01-01T00:00:00Z,4381091
3507103,91,2020-06-10T00:00:00Z,4381091
1871067,87,2017-02-28T00:00:00Z,3224542
2508115,85,2013-07-01T00:00:00Z,3224542
1587405,88,2016-06-27T00:00:00Z,6803682
1807946,89,2016-12-30T00:00:00Z,6803682
416994,89,2016-12-30T00:00:00Z,2272273
1545494,87,2016-07-19T00:00:00Z,2272273
3022894,91,2017-04-01T00:00:00Z,2272273
3498145,93,2019-06-16T00:00:00Z,91447482
3498146,92,2019-08-30T00:00:00Z,91447482
3502723,90,2019-09-13T00:00:00Z,91447482
3503947,93,2019-11-27T00:00:00Z,91447482
3504025,2,2019-12-02T00:00:00Z,91447482
3506238,90,2020-04-21T00:00:00Z,91447482
3506239,92,2020-04-21T00:00:00Z,91447482
2947514,91,2018-04-27T00:00:00Z,150994089
3310584,92,2019-01-07T00:00:00Z,150994089
3339366,91,2019-02-27T00:00:00Z,150994089
