vintage_id,name,certified_biodynamic,wine_id,wine_name,type,is_natural,region_id,country,winery_id,rank_percentile_country,rank_percentile_region,rank_percentile_winery,rank_percentile_wine_type,rank_percentile_global,wine_description,alcohol,appelation_id,body_id,acidity_id,awards_number,awards_bronze_number,awards_silver_number,awards_gold_number,awards_excellent_number,awards_platinum_number,awards_remarkable_number,awards_commended_number,ratings_distribution_1,ratings_distribution_2,ratings_distribution_3,ratings_distribution_4,ratings_distribution_5,vintage_rank_percentile_country,vintage_rank_percentile_region,vintage_rank_percentile_winery,vintage_rank_percentile_global,contains_added_sulfites,contains_milk_allergens,contains_egg_allergens,closure,year,median_price
14384714,Ornellaia Le Volte 2015,,1480684,Le Volte,Red,False,394,Italie,7941,4.75,62.96,68.0,4.9,3.84,"The 2014 vintage was the most challenging in our memory, but has nevertheless enabled us to produce high quality wines that give immense pleasure. The late ripening of the grapes have made it possible to express the crispness and freshness of the fruit to best effect. What is striking is the high quality of the tannins on the palate: silky, refined and without any sharp edges, albeit with a lower density than in hotter vintages. Le Volte dell’Ornellaia is a balanced, harmonious and very drinkable wine thanks in particular to the beautiful Merlots of 2014.",14.0,292,3,2,0,0,0,0,0,0,0,0,52,167,2214,4543,692,4.53,35.65,35.71,4.11,True,False,False,cork,2015,21.37
85635087,Cloudy Bay Sauvignon Blanc 2016,,18978,Sauvignon Blanc,White,False,732,Nouvelle-Zélande,1675,0.74,0.73,12.5,0.53,1.05,"Scented and summery, the Cloudy Bay Sauvignon Blanc has deliciously vibrant aromatics that infuse the tropical fragrance of fresh passion fruit and juicy pineapples with garden-fresh basil and the spiciness of crushed tomato leaves. The palate is long and succulent, combining exotic fruits with ripe, red capsicum and a twist of green olive beautifully complemented by crisp natural acidity and a hint of lime zest.",13.5,202,2,3,0,0,0,0,0,0,0,0,40,121,1222,4480,1338,0.98,0.9,7.19,1.52,True,True,True,,2016,31.24
85559438,Antinori Tignanello 2016,,1652,Tignanello,Red,False,394,Italie,1252,0.06,0.12,3.95,0.12,0.08,,13.5,292,3,2,0,0,0,0,0,0,0,0,21,22,246,3455,3386,0.02,0.04,0.71,0.02,True,False,False,,2016,129.5
2130088,Masi Costasera Amarone della Valpolicella Classico 2013,False,21929,Costasera Amarone della Valpolicella Classico,Red,False,3237,Italie,60883,0.35,0.5,3.19,0.5,0.33,"Deep ruby ​​red. Stewed fruit, plum and cherry to the nose. Fruity aromas with notes of coffee and cocoa. Extremely balanced.",15.0,3,5,3,0,0,0,0,0,0,0,0,36,49,565,4183,1799,0.41,0.57,3.12,0.41,True,False,False,,2013,45.0
1282334,Tenuta San Guido Sassicaia 2011,,5078,Sassicaia,Red,False,2999,Italie,1413,0.02,0.04,25.0,0.04,0.03,,13.5,9,4,3,0,0,0,0,0,0,0,0,47,34,278,2518,3167,0.02,0.04,5.08,0.02,True,True,True,,2011,240.0
86150642,Antinori Pèppoli Chianti Classico 2016,False,1655,Pèppoli Chianti Classico,Red,False,1798,Italie,1252,6.81,9.37,56.58,6.77,5.46,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",13.0,69,3,3,0,0,0,0,0,0,0,0,34,142,1904,3362,537,4.54,6.87,27.9,4.11,True,False,False,,2016,21.2
4033840,Tenuta San Guido Sassicaia 2014,False,5078,Sassicaia,Red,False,2999,Italie,1413,0.02,0.04,25.0,0.04,0.03,,13.5,9,4,3,0,0,0,0,0,0,0,0,58,66,365,2850,2619,0.06,0.14,18.08,0.08,True,True,True,,2014,215.0
4203695,Alión Ribera del Duero 2014,False,77171,Ribera del Duero,Red,False,405,Espagne,11049,0.1,0.93,100.0,0.19,0.12,"It appears with hints of roast from the grape and top-quality wood. On the palate, the sweetened tannins of the concentrated black fruits blend with the dry creamy tannins of the French oak. It is full of flavor, strong, fleshy and unfolds a truly suggestive range of tastes.",14.5,180,5,3,0,0,0,0,0,0,0,0,16,21,249,3359,2121,0.07,0.75,3.61,0.08,True,True,True,cork,2014,87.0
150316475,Penfolds Koonunga Hill Shiraz - Cabernet 2017,False,1306,Koonunga Hill Shiraz - Cabernet,Red,False,7,Australie,1305,6.31,8.91,40.28,11.03,9.16,"Color: bright crimson red. Nose: A youthful koonunga hill disposition arises. dark sour-cherry, blackberry, rhubarb fruits abound. aromas of malt/oats/wheat germ with a green olive and pomegranate alert. integrated, supportive oak awoken. Palate: compact, defined. pomegranate/plum/dark berry fruits. a white chocolate mousse/creamy dairy chocolate flavour/texture amalgam. on the finish, a charry/smokey impression (oak ?).",14.0,42,5,3,0,0,0,0,0,0,0,0,56,239,2387,2564,358,7.31,9.55,24.82,8.76,True,False,False,,2017,15.23
91011696,Clos de los Siete Clos de Los Siete (by Michel Rolland) 2016,,1173185,Clos de Los Siete (by Michel Rolland),Red,False,454,Argentine,7930,4.98,5.24,100.0,4.07,3.13,"On the nose, C7’s intense and complex aromatic expression delivers subtle notes of fruit and spice. On the palate, the delicate tannins are ripe and silky, and combine with appealing freshness. Well-balanced in structure, full-bodied and offering typical freshness, the wine showcases the charming, elegant style.",14.0,11,4,3,0,0,0,0,0,0,0,0,21,64,1476,3588,489,5.14,5.51,22.22,4.12,True,False,False,,2016,17.2
