id,name,url,payments
18103,J'adopte un vin,https://www.jadopteunvin.fr/content/3-cgv,"['card_payments', 'platform_payments']"
3105,Millesimes et Saveurs,,[]
4077,Vinogourmets Les Caves de Diane,,[]
6411,Wine2Expert,,[]
29580,South World Wines,,[]
3483,Vins-fins.com,,[]
27371,Bouzigues,,[]
1300,La Cave du Marche,https://www.lacavedumarche28.com/fr/content/3-conditions-generales-de-vente,"['card_payments', 'platform_payments']"
4093,Pomerol.com,,[]
22810,Maison Lemaitre,,[]
14447,Weinhandelshaus Siegburg GmbH,,[]
1694,Pleasure Wine,,[]
23422,La Cave Bordeaux Rive Droite,,[]
22736,La Cave de Mauriac,,[]
22257,Alavotre,,[]
6326,Patrice Vins Selection,,[]
30395,Chateaux Prestige,,[]
22712,E.Leclerc,,[]
22839,MaCave par E.Leclerc,,[]
23317,Espace Vin de Saint-Chinian,,[]
4987,Cave Des Grands Vins,,[]
22759,La Boite a Vins,,[]
1633,Nicolas SA,,[]
22266,La Cave du Chateau,,['legacy_payments']
22811,Le Vingt-Deux,http://www.levingtdeux.com/content/3-conditions-generales-de-ventes,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
22908,Via Vinum,,[]
6765,La Cave a Millesimes,,[]
22983,Cave Delepine,,[]
1157,Cave du Connaisseur,,[]
2939,Vinadea,,[]
23410,Intercaves Reunion,,[]
22323,Caviste du Liban,,[]
21896,Vivino - France,,"['card_payments', 'platform_payments']"
22231,Best French Wines,,[]
26212,Delaby,,[]
22788,La Boutique du Comptoir,,[]
19014,La Bouteille Doree,,[]
22905,Punch et Cocktail,,[]
22213,Cave Le Vigneron,,[]
3951,Cellier du Perigord,,[]
3438,La Grande Epicerie de Paris,,[]
22919,Rhonissimo,,[]
3235,Coste-du-Rhone.com,,[]
29014,Phylloxera KG,,[]
2768,20surVin,https://www.20survin.com/fr/content/3-conditions-generales-vente,"['card_payments', 'platform_payments']"
28981, Les Grands Crus Classés,,[]
593,SoDivin,,[]
713,Wine & Waters,,[]
3159,WineLive Fricke & Khairat OHG,,[]
2770,Calais Vins,,[]
3600,Cellier des Vignerons,,[]
19161,Great Wines Cellar,,[]
4641,Stephconti Vins Fins et Rares,https://www.stephconti.com/conditions-generales-de-vente.html ,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
13285,Mondovino.com,,[]
29137,Les Petites Bouteilles,,[]
26334,Special Wine,,[]
2888,Planetevin.com,,[]
22778,L'Atelier des Bieres,,[]
29789,Cavavin UK,,[]
21311,La Cave de Phééric,,[]
3732,Arche Aux Vins,,[]
3304,Le Petit Ballon,,[]
2832,Vin10vin,,[]
3167,Cave de la Crosse,,[]
4391,Hediard,,[]
3958,Alsace Vintage,,[]
1215,Grands Bourgognes,,['legacy_payments']
5092,La Cave Picerie,,[]
22518,Direct Chais,https://directchais.com/content/3-conditions-generales-de-vente,['legacy_payments']
22228,Caves Notre Dame,,['legacy_payments']
29322,DE MOUR,,[]
22738,La Cave Littlewood,http://www.littlewood.fr/fr/content/3-conditions-generales-utilisation,"['card_payments', 'platform_payments']"
