,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
0,SNDL,Sundial Growers,us_market,1.53,1.22 - 1.71,,2388865536,,10.086956,-0.6136364,607019610,0.138 - 3.96,-3.642857
1,RMM.L,,gb_market,0.34,0.305 - 0.3485,,36326280,0.022222223,0.69154227,-0.83,205115508,0.201 - 2.0,
2,VAST.L,,gb_market,0.116,0.1113 - 0.1198,,24708580,,0.18367347,-0.6,220674834,0.098 - 0.29,
3,002002.SZ,,cn_market,3.51,3.34 - 3.57,12.446808,9627473920,0.017804155,0.28571427,-0.37765956,105661097,2.73 - 5.64,
4,UJO.L,,gb_market,0.16,0.155 - 0.1687,,31705438,,1.1333332,-0.5,201772895,0.075 - 0.32,
5,000667.SZ,,cn_market,1.81,1.68 - 1.84,,4465251840,,0.17532466,-0.56698567,73481388,1.54 - 4.18,
6,600759.SS,,cn_market,1.96,1.92 - 2.1,,4436479488,,0.3066667,-0.28727272,40936220,1.5 - 2.75,
7,002400.SZ,,cn_market,4.74,4.42 - 4.97,,8263431168,0.0050660796,0.71739125,-0.6305534,57043276,2.76 - 12.83,
8,601388.SS,,cn_market,3.39,3.18 - 3.51,21.455696,7463865344,0.004984424,1.3706295,-0.1285347,94116920,1.43 - 3.89,
9,000683.SZ,,cn_market,2.46,2.24 - 2.46,,9212405760,,0.566879,-0.1934426,38314347,1.57 - 3.05,
10,COPL.L,,gb_market,0.325,0.2856 - 0.325,,27256058,,9.483871,-0.9874031,184791324,0.031 - 25.8,
11,002503.SZ,,cn_market,1.8,1.63 - 1.8,,5566626304,,0.19205296,-0.6830986,87077150,1.51 - 5.68,
12,300182.SZ,,cn_market,3.37,3.01 - 3.44,,8677615616,0.0013157895,0.24814808,-0.51017445,56334381,2.7 - 6.88,
13,TSNP,Tesoro Enterprises,us_market,1.07,0.84 - 1.14,,4169479680,,21399.002,-0.4455958,159593042,5.0E-5 - 1.93,
14,002378.SZ,,cn_market,6.92,6.55 - 6.92,,6395235328,0.0031796503,0.8355438,-0.008595981,20247726,3.77 - 6.98,
15,600063.SS,,cn_market,4.56,4.36 - 4.58,19.570816,8782058496,0.013793103,0.47096777,-0.0769231,42911620,3.1 - 4.94,
16,600121.SS,,cn_market,5.11,4.83 - 5.25,,6226075136,0.008284023,1.9883041,-0.48591545,148089593,1.71 - 9.94,
17,600844.SS,,cn_market,5.45,5.03 - 5.66,,4815614464,,1.1626984,-0.13492069,71350574,2.52 - 6.3,
18,300116.SZ,,cn_market,2.0,1.9 - 2.01,2.9325514,8562160128,,0.39860144,-0.63833636,145263639,1.43 - 5.53,
19,000802.SZ,,cn_market,6.71,6.49 - 6.88,,4803689472,0.0095999995,0.6168674,-0.45045045,19358237,4.15 - 12.21,
20,300189.SZ,,cn_market,4.36,3.8 - 4.42,,4464640000,,0.37974685,-0.47784433,79153136,3.16 - 8.35,
21,000816.SZ,,cn_market,3.3,3.15 - 3.38,,4700849664,0.00310559,1.820513,-0.35546875,153435617,1.17 - 5.12,
22,000698.SZ,,cn_market,6.97,6.43 - 6.97,,5712012288,0.010252365,1.3156146,-0.34245288,34438613,3.01 - 10.6,
23,002647.SZ,,cn_market,8.1,7.74 - 8.27,,4535490048,0.0025773195,0.1604585,-0.8748455,67592047,6.98 - 64.72,
24,RMS.L,,gb_market,1.6,1.5 - 1.83,,32833122,,13.159292,-0.7777778,112427727,0.113 - 7.2,
0,600963.SS,,cn_market,5.27,4.79 - 5.27,20.114504,9512613888,0.007515657,0.6669103,0.0,32842176,3.161538 - 5.27,
1,000545.SZ,,cn_market,3.04,2.8 - 3.1,,2999972352,0.006896551,0.35111108,-0.37959185,93277773,2.25 - 4.9,
2,002567.SZ,,cn_market,8.77,7.98 - 8.77,9.842874,8586514432,0.02885822,0.23347402,-0.30396825,29629174,7.11 - 12.6,
3,600531.SS,,cn_market,5.99,5.69 - 6.03,17.065525,6530537472,0.010362694,0.6321525,-0.19272241,54617585,3.67 - 7.42,
4,300064.SZ,,cn_market,2.74,2.51 - 2.83,,3303014912,0.005447471,0.5393259,-0.6839677,99517797,1.78 - 8.67,
5,002067.SZ,,cn_market,4.05,3.86 - 4.09,19.285715,4500360192,0.009043928,0.38698635,-0.038004715,37110021,2.92 - 4.21,
6,002172.SZ,,cn_market,3.77,3.43 - 3.84,,2927333376,,0.5514403,-0.2210744,52048863,2.43 - 4.84,
7,002280.SZ,,cn_market,2.22,2.07 - 2.26,,4833272832,,0.80487806,-0.37815124,44001324,1.23 - 3.57,
8,002274.SZ,,cn_market,5.83,5.36 - 5.93,32.388885,5552287744,0.018416207,0.3717647,-0.19807428,16395706,4.25 - 7.27,
9,RIOT,Riot Blockchain,us_market,71.33,67.42 - 77.8,,4816908288,,138.58905,-0.102767274,32873068,0.511 - 79.5,-137.17308
10,002668.SZ,,cn_market,6.1,5.82 - 6.19,,6613070848,,0.63978493,-0.04238618,42662458,3.72 - 6.37,
11,300152.SZ,,cn_market,3.85,3.65 - 3.91,,2744279808,,0.8333334,-0.37601298,35205640,2.1 - 6.17,
12,000812.SZ,,cn_market,4.0,3.73 - 4.07,333.33334,3074771968,0.003957784,0.47601473,-0.10913136,56370417,2.71 - 4.49,
13,002206.SZ,,cn_market,5.42,4.96 - 5.42,26.965174,6628822528,0.020283977,0.6884735,0.0,17558079,3.21 - 5.42,
14,000612.SZ,,cn_market,8.16,7.69 - 8.38,22.054054,9728351232,0.0012936611,1.421365,-0.23380281,45635217,3.37 - 10.65,
15,000751.SZ,,cn_market,3.47,3.29 - 3.53,24.436619,4892248576,,0.388,-0.14532018,55405033,2.5 - 4.06,
16,600308.SS,,cn_market,6.2,5.98 - 6.27,10.472973,7238871552,0.029166667,0.5158923,-0.011164302,25672405,4.09 - 6.27,
17,600751.SS,,cn_market,2.15,1.99 - 2.21,8.847737,5968464896,,0.22857149,-0.52747256,42523047,1.75 - 4.55,
18,002263.SZ,,cn_market,2.88,2.75 - 2.9,62.6087,5409677312,,0.6000001,-0.32394367,101948616,1.8 - 4.26,
19,601011.SS,,cn_market,4.34,4.2 - 4.38,482.22226,6964875776,,0.4323433,-0.060606003,56564615,3.03 - 4.62,
20,000767.SZ,,cn_market,3.0,2.86 - 3.02,50.0,9230820352,,0.4492754,-0.4230769,101222102,2.07 - 5.2,
21,002619.SZ,,cn_market,1.51,1.39 - 1.53,,2785798912,,0.18897639,-0.52063495,49636120,1.27 - 3.15,
22,300368.SZ,,cn_market,12.82,12.0 - 13.2,123.269226,6819509248,0.0013742928,0.8688046,-0.49823874,22273223,6.86 - 25.55,
23,002305.SZ,,cn_market,2.13,2.04 - 2.19,,3693888768,0.024630543,0.25294122,-0.36417904,50116518,1.7 - 3.35,
24,000908.SZ,,cn_market,4.25,4.07 - 4.37,,3739039488,,0.34069398,-0.4970414,26084161,3.17 - 8.45,
0,002425.SZ,,cn_market,9.06,8.46 - 9.29,47.68421,7372520960,0.005,1.059091,-0.60175824,36431644,4.4 - 22.75,
1,300038.SZ,,cn_market,2.49,2.28 - 2.59,31.923077,2917856768,0.010822511,0.18571435,-0.7877238,54420177,2.1 - 11.73,
2,600691.SS,,cn_market,2.72,2.61 - 2.82,,6462665728,,0.49450547,-0.090301,33775887,1.82 - 2.99,
3,000521.SZ,,cn_market,3.73,3.44 - 3.81,,3603687424,0.014409222,0.38661706,-0.43313068,94091630,2.69 - 6.58,
4,000680.SZ,,cn_market,4.12,3.89 - 4.13,128.74998,5216167424,0.0050890585,0.32903227,-0.08444447,45294051,3.1 - 4.5,
5,300324.SZ,,cn_market,3.58,3.17 - 3.64,,6274665984,0.014150944,0.20945942,-0.66162574,30201407,2.96 - 10.58,
6,002269.SZ,,cn_market,1.28,1.19 - 1.3,,3216000000,,0.14285712,-0.53790617,34031288,1.12 - 2.77,
7,600792.SS,,cn_market,4.12,3.92 - 4.23,105.64102,4078486528,,0.51470584,-0.13987476,39860799,2.72 - 4.79,
8,600313.SS,,cn_market,5.43,5.26 - 5.45,246.81818,5876346368,,0.8724137,-0.2308782,75579713,2.9 - 7.06,
9,600433.SS,,cn_market,5.7,5.4 - 5.71,40.42553,7246523904,0.0051001827,0.9256756,-0.056291416,50301810,2.96 - 6.04,
10,000676.SZ,,cn_market,5.3,5.11 - 5.44,86.88525,7026210304,0.004518664,0.24121785,-0.48841694,26506403,4.27 - 10.36,
11,002470.SZ,,cn_market,1.45,1.36 - 1.45,,4764743680,,0.4215687,-0.57100594,41375064,1.02 - 3.38,
12,001896.SZ,,cn_market,5.88,5.62 - 5.94,21.697418,6765469184,,0.909091,-0.4716981,88925939,3.08 - 11.13,
13,000903.SZ,,cn_market,3.5,3.26 - 3.52,30.973452,6897800192,0.009146341,0.36718753,-0.60045666,41765801,2.56 - 8.76,
14,000713.SZ,,cn_market,15.57,15.05 - 15.93,99.17197,6828721664,0.0013114754,1.0142303,-0.1800948,58130831,7.73 - 18.99,
15,7647.T,,jp_market,36.0,35.0 - 37.0,,7073027584,0.0,1.25,-0.14285715,117556741,16.0 - 42.0,
16,000892.SZ,,cn_market,3.11,3.11 - 3.33,,3050847488,,0.5097087,-0.4893268,12448640,2.06 - 6.09,
17,600577.SS,,cn_market,3.16,2.9 - 3.2,13.920706,6071655936,0.024054982,0.19696969,-0.27522936,16695675,2.64 - 4.36,
18,002665.SZ,,cn_market,1.8,1.68 - 1.82,,4569695744,,0.17647058,-0.5431472,46843731,1.53 - 3.94,
19,300010.SZ,,cn_market,8.24,7.64 - 8.3,,7154997760,,0.14444444,-0.6919626,24737312,7.2 - 26.75,
20,002109.SZ,,cn_market,4.04,3.53 - 4.04,33.949577,4253877760,0.005449591,0.40766555,-0.0073710587,11524024,2.87 - 4.07,
21,000584.SZ,,cn_market,7.07,6.39 - 7.05,,5379831808,0.002255639,0.5369566,-0.13569683,11516511,4.6 - 8.18,
22,002341.SZ,,cn_market,3.55,3.34 - 3.62,,4090345728,0.00801187,0.32958797,-0.61117196,25318217,2.67 - 9.13,
23,600103.SS,,cn_market,2.04,1.96 - 2.04,680.0,4703872512,,0.10270267,-0.1807229,51948702,1.85 - 2.49,
24,600199.SS,,cn_market,13.31,12.14 - 13.68,,8755277824,0.0011820331,1.7845188,-0.40923214,76701072,4.78 - 22.53,
0,ZOM,Zomedica Pharmaceuticals,us_market,2.28,2.22 - 2.37,,2158893312,,35.190475,-0.21649487,177449071,0.063 - 2.91,-57.0
1,CAN,Canaan,us_market,24.79,19.12 - 25.7775,,3883973632,,13.085228,-0.038327217,13848273,1.76 - 25.778,
2,002342.SZ,,cn_market,4.08,3.84 - 4.1,204.0,3916800000,0.00077519385,0.44169614,-0.38461542,91112328,2.83 - 6.63,
3,000657.SZ,,cn_market,7.6,7.18 - 7.6,41.758244,8012603904,,0.4339622,-0.060568634,18009490,5.3 - 8.09,
4,600798.SS,,cn_market,4.17,4.03 - 4.21,40.48544,5031230464,0.014319808,0.4734983,-0.3748126,70556943,2.83 - 6.67,
5,300002.SZ,,cn_market,4.58,4.32 - 4.6,,8981792768,,0.35502952,-0.44885683,44470830,3.38 - 8.31,
6,600527.SS,,cn_market,2.75,2.64 - 2.88,19.927536,4762339840,0.03132075,0.45374498,-0.3911438,20790667,1.891666 - 4.516666,
7,TRX.L,,gb_market,0.798,0.748 - 0.82,,56123976,,1.9018182,-0.3765625,71543519,0.275 - 1.28,
8,300355.SZ,,cn_market,3.83,3.57 - 3.85,100.789474,6144239104,0.0011142062,0.4507575,-0.41076925,25586664,2.64 - 6.5,
9,000059.SZ,,cn_market,6.04,5.59 - 6.09,,9660617728,0.041519437,0.34521165,-0.109144576,17583861,4.49 - 6.78,
10,601918.SS,,cn_market,2.91,2.77 - 2.93,8.92638,7538471936,0.007092199,0.25431043,-0.12084588,62810868,2.32 - 3.31,
11,600300.SS,,cn_market,3.99,3.79 - 4.0,22.670454,6671280128,,0.43010756,-0.2862254,79282107,2.79 - 5.59,
12,600169.SS,,cn_market,2.33,2.24 - 2.34,,7766215680,,0.23280421,-0.06800003,46162547,1.89 - 2.5,
13,300301.SZ,,cn_market,3.68,3.47 - 3.74,,2907601152,,0.6283186,-0.5566265,67744128,2.26 - 8.3,
14,000822.SZ,,cn_market,4.16,3.76 - 4.16,,3723582464,0.023809524,0.26060602,-0.23529415,11085265,3.3 - 5.44,
15,002640.SZ,,cn_market,4.48,4.05 - 4.48,,6980019712,0.011056511,0.20754716,-0.56923074,29957578,3.71 - 10.4,
16,002578.SZ,,cn_market,3.52,3.39 - 3.71,50.285713,3478087424,,0.21379305,-0.21076234,18246656,2.9 - 4.46,
17,300221.SZ,,cn_market,7.71,7.46 - 7.93,74.85437,3469068288,,0.77241385,-0.33188906,70262879,4.35 - 11.54,
18,GSAT,Globalstar,us_market,2.15,2.04 - 2.29,,3591381504,,8.347826,-0.27852347,39254428,0.23 - 2.98,
19,600490.SS,,cn_market,4.15,3.93 - 4.17,415.00003,9183494144,,0.369637,-0.20801522,51866531,3.03 - 5.24,
20,000592.SZ,,cn_market,2.41,2.28 - 2.42,185.38461,4655589888,,0.14218019,-0.50614756,27941364,2.11 - 4.88,
21,300343.SZ,,cn_market,3.04,2.9 - 3.06,,3519073536,,0.6521739,-0.45617175,60864759,1.84 - 5.59,
22,300208.SZ,,cn_market,9.83,8.26 - 9.83,,7367339520,0.0036630037,0.9013539,-0.48908523,37736119,5.17 - 19.24,
23,000980.SZ,,cn_market,2.12,2.0 - 2.12,,4298660352,,0.85964906,-0.31612906,29044221,1.14 - 3.1,
24,000557.SZ,,cn_market,4.35,4.08 - 4.39,37.826084,6343909376,,0.64150935,-0.12825648,28703655,2.65 - 4.99,
0,000875.SZ,,cn_market,4.21,4.06 - 4.23,33.68,9035965440,,0.2604791,-0.1118143,33059308,3.34 - 4.74,
1,300008.SZ,,cn_market,5.31,4.98 - 5.32,,9175838720,,3.0846157,-0.29482076,75791400,1.3 - 7.53,
2,000982.SZ,,cn_market,1.17,1.12 - 1.19,,4986399744,,0.15841581,-0.27777782,18527878,1.01 - 1.62,
3,600397.SS,,cn_market,2.47,2.38 - 2.55,,2445201152,,0.2227723,-0.36828646,56284717,2.02 - 3.91,
4,002426.SZ,,cn_market,1.89,1.82 - 1.9,,6504473088,,0.28571424,-0.37623763,48890639,1.47 - 3.03,
5,002162.SZ,,cn_market,4.22,3.98 - 4.25,62.98507,3602930176,,0.44027293,-0.11899795,33464005,2.93 - 4.79,
6,601020.SS,,cn_market,9.37,8.61 - 9.58,42.207207,5201737216,0.010309279,0.2662162,-0.4845985,18395855,7.4 - 18.18,
7,000928.SZ,,cn_market,4.7,4.4 - 4.75,9.936575,5906301440,0.029345373,0.21447027,-0.15467629,25496722,3.87 - 5.56,
8,601619.SS,,cn_market,3.23,3.12 - 3.25,26.694216,6699342848,0.013564669,0.11764702,-0.34482756,45354475,2.89 - 4.93,
9,300237.SZ,,cn_market,2.61,2.43 - 2.61,,3792512512,,0.25480768,-0.51031893,33208789,2.08 - 5.33,
10,600237.SS,,cn_market,5.38,5.01 - 5.4,,3036310528,,0.5594203,-0.20648968,41903304,3.45 - 6.78,
11,002132.SZ,,cn_market,3.12,3.01 - 3.12,63.67347,3920279808,0.016447369,0.28395054,-0.4526316,46904152,2.43 - 5.7,
12,002369.SZ,,cn_market,4.81,4.71 - 4.96,687.1428,2774258944,,0.22391854,-0.62304074,12145813,3.93 - 12.76,
13,601996.SS,,cn_market,3.32,3.03 - 3.37,20.75,3803458304,0.019607844,0.3949579,-0.029239807,13915145,2.38 - 3.42,
14,000659.SZ,,cn_market,3.9,3.62 - 3.94,433.33337,5014230016,,1.0967742,-0.010152275,24528348,1.86 - 3.94,
15,603399.SS,,cn_market,4.76,4.31 - 4.76,,2430094336,0.0046189376,0.46913588,-0.6195044,7452340,3.24 - 12.51,
16,600331.SS,,cn_market,2.02,1.82 - 2.02,,4104640000,,0.27848098,-0.3587302,52845685,1.58 - 3.15,
17,600481.SS,,cn_market,4.17,4.06 - 4.18,50.853657,6806691328,0.02843602,0.47872347,-0.3652968,35801949,2.82 - 6.57,
18,601001.SS,,cn_market,4.95,4.65 - 4.99,8.236273,8284814336,,0.47321427,-0.28260875,44221845,3.36 - 6.9,
19,300297.SZ,,cn_market,4.61,4.35 - 4.62,,5761716736,0.0072892946,0.3639053,-0.4614486,58827157,3.38 - 8.56,
20,000732.SZ,,cn_market,3.16,2.93 - 3.2,,7864924672,0.03754266,0.25896418,-0.5896104,28210007,2.51 - 7.7,
21,000836.SZ,,cn_market,2.47,2.37 - 2.53,2470.0,2984896256,,0.17619054,-0.44117647,12639171,2.1 - 4.42,
22,300102.SZ,,cn_market,4.86,4.49 - 4.89,,3438528000,0.0055555557,0.17108434,-0.6648275,41961592,4.15 - 14.5,
23,000793.SZ,,cn_market,2.17,2.05 - 2.18,,4334032896,,0.17297299,-0.5890151,24025763,1.85 - 5.28,
24,000420.SZ,,cn_market,2.21,2.18 - 2.22,,4791965184,,0.24157308,-0.41223404,17461864,1.78 - 3.76,
0,600428.SS,,cn_market,4.1,3.91 - 4.11,97.61905,8801264640,,0.41379303,-0.28942809,68748537,2.9 - 5.77,
1,002707.SZ,,cn_market,6.36,5.89 - 6.39,,5763890176,0.003872054,0.5142858,-0.5077399,22691694,4.2 - 12.92,
2,600292.SS,,cn_market,6.87,6.63 - 6.94,85.875,5364212736,0.0075642965,0.4585987,-0.2636656,29844390,4.71 - 9.33,
3,300159.SZ,,cn_market,3.07,2.87 - 3.08,,4575405056,0.007266436,0.1673003,-0.5922975,46368448,2.63 - 7.53,
4,002168.SZ,,cn_market,3.49,3.16 - 3.49,45.921055,2798735616,,0.21180551,-0.64889336,26940687,2.88 - 9.94,
5,GST.L,,gb_market,2.95,2.7 - 3.6,,35207660,,28.20792,-0.34444442,52262059,0.101 - 4.5,
6,300287.SZ,,cn_market,3.42,3.21 - 3.43,,4908623360,,0.14765103,-0.57089084,37218173,2.98 - 7.97,
7,FCEL,FuelCell Energy,us_market,20.22,19.54 - 21.69,,6519170560,,19.22,-0.31317937,64449465,1.0 - 29.44,-112.33333
8,300131.SZ,,cn_market,7.83,7.48 - 7.87,47.7439,8374419456,0.0026490064,0.7795454,-0.37108433,50361636,4.4 - 12.45,
9,300128.SZ,,cn_market,3.82,3.65 - 3.82,,4179538176,,0.27759194,-0.43988273,34408196,2.99 - 6.82,
10,600589.SS,,cn_market,3.17,2.82 - 3.17,,2231784704,0.006944444,0.39035094,-0.6180723,8869170,2.28 - 8.3,
11,300148.SZ,,cn_market,3.29,3.02 - 3.3,,2765402880,,0.16666669,-0.5245665,22226625,2.82 - 6.92,
12,002084.SZ,,cn_market,6.56,6.0 - 6.67,30.511627,3638169344,,0.5686957,-0.53867793,10639621,4.181818 - 14.22,
13,002164.SZ,,cn_market,8.16,7.85 - 8.25,4.0316205,4342539776,,1.7567567,-0.15702483,31669582,2.96 - 9.68,
14,600888.SS,,cn_market,6.33,6.05 - 6.39,25.524193,6486414336,0.009852217,0.54390246,-0.11838439,26271580,4.1 - 7.18,
15,600307.SS,,cn_market,1.55,1.5 - 1.55,28.181818,9708208128,,0.08391609,-0.19270834,52003537,1.43 - 1.92,
16,603299.SS,,cn_market,8.56,8.01 - 8.6,35.08197,6628693504,0.012439025,0.5231318,-0.004651158,22636307,5.62 - 8.6,
17,600804.SS,,cn_market,6.17,5.85 - 6.19,,8837846016,,0.10178575,-0.42817423,32792829,5.6 - 10.79,
18,000589.SZ,,cn_market,7.55,7.31 - 7.69,14.891519,6021796864,0.005228758,1.0241287,-0.094724216,27681272,3.73 - 8.34,
19,300094.SZ,,cn_market,3.93,3.68 - 3.97,,3613866752,0.008108107,0.11965814,-0.44017094,70678907,3.51 - 7.02,
20,002155.SZ,,cn_market,8.14,7.94 - 8.2,36.502243,9784606720,0.0038071065,0.20592597,-0.22402284,17280800,6.75 - 10.49,
21,605055.SS,,cn_market,9.27,8.9 - 10.09,36.785717,4078800128,,0.60380626,-0.15573762,27340548,5.78 - 10.98,
22,601218.SS,,cn_market,4.25,4.0 - 4.27,18.008474,4153779968,0.003194103,0.61596954,-0.137931,30560546,2.63 - 4.93,
23,600616.SS,,cn_market,7.26,6.51 - 7.3,427.0588,4856976384,0.0034482758,1.2418057,-0.44706777,63369726,3.238461 - 13.13,
24,600055.SS,,cn_market,13.2,12.76 - 13.8,31.578945,7138770944,0.0036549708,0.43947652,-0.33096805,9490074,9.17 - 19.73,
0,600338.SS,,cn_market,10.19,9.72 - 10.29,60.65476,9315799040,0.0029622063,0.43723544,-0.3318033,34567018,7.09 - 15.25,
1,300641.SZ,,cn_market,6.59,6.25 - 6.8,111.694916,3226464000,0.0029850747,0.5917875,-0.28291616,18339564,4.14 - 9.19,
2,600138.SS,,cn_market,11.27,10.75 - 11.38,,8157677056,0.0037071363,0.20663814,-0.1583271,15854761,9.34 - 13.39,
3,600291.SS,,cn_market,3.51,3.2 - 3.53,,3836640512,0.004984424,0.21874996,-0.7804878,28698576,2.88 - 15.99,
4,601702.SS,,cn_market,7.67,7.26 - 7.74,25.652174,7658733056,,0.73137707,-0.29568413,38315079,4.43 - 10.89,
5,601678.SS,,cn_market,5.63,5.46 - 5.67,29.94681,9257465856,0.017825311,0.33729216,-0.1133858,25633138,4.21 - 6.35,
6,300309.SZ,,cn_market,2.52,2.33 - 2.59,,2233032448,,0.16666661,-0.5868852,30031289,2.16 - 6.1,
7,002177.SZ,,cn_market,5.17,4.98 - 5.17,52.755104,3935357440,,0.28287837,-0.29755434,49558652,4.03 - 7.36,
8,002360.SZ,,cn_market,9.49,8.77 - 9.68,29.021406,3715752448,0.016703788,1.019149,-0.2150538,14722754,4.7 - 12.09,
9,300409.SZ,,cn_market,16.09,15.22 - 16.1,84.68421,7401497088,0.006535948,0.53971297,-0.0018610847,24513988,10.45 - 16.12,
10,RBD.L,,gb_market,0.595,0.58 - 0.6,,50340688,,1.7045456,-0.2865707,69349706,0.22 - 0.834,
11,600094.SS,,cn_market,3.9,3.67 - 3.92,15.853659,9362691072,0.008130081,0.10795458,-0.54492414,17710428,3.52 - 8.57,
12,600230.SS,,cn_market,13.94,12.85 - 14.45,,5741370368,0.0013090909,0.8636363,-0.035294134,8221793,7.48 - 14.45,
13,000552.SZ,,cn_market,2.77,2.64 - 2.79,12.096069,6334907392,0.03731343,0.28837204,-0.19710146,57290779,2.15 - 3.45,
14,600108.SS,,cn_market,2.78,2.64 - 2.79,120.86956,5412437504,0.001509434,0.16317986,-0.37668163,43340804,2.39 - 4.46,
15,600277.SS,,cn_market,2.86,2.69 - 2.88,22.0,7833368064,0.03731343,0.15322575,-0.36865348,17738092,2.48 - 4.53,
16,600403.SS,,cn_market,3.55,3.19 - 3.55,136.53845,8487375872,0.0030959751,0.19127515,-0.4563553,42818134,2.98 - 6.53,
17,300326.SZ,,cn_market,11.53,10.7 - 11.57,30.422163,8335912960,0.004562044,0.20986359,-0.6325685,27486608,9.53 - 31.38,
18,002235.SZ,,cn_market,3.61,3.44 - 3.66,,2092254720,,0.16077171,-0.68744594,25191741,3.11 - 11.55,
19,002547.SZ,,cn_market,3.98,3.6 - 3.98,,4489678848,,0.23987538,-0.6245283,15238523,3.21 - 10.6,
20,002068.SZ,,cn_market,8.95,8.2 - 8.91,,6665906176,0.03614458,1.5,0.0,30304582,3.58 - 8.95,
21,002283.SZ,,cn_market,6.34,5.91 - 6.44,16.728231,7194886144,0.0058333334,0.85923755,-0.21242236,22771186,3.41 - 8.05,
22,600393.SS,,cn_market,1.74,1.61 - 1.77,,4413075456,,0.19178079,-0.55837566,37915006,1.46 - 3.94,
23,000615.SZ,,cn_market,11.26,10.7 - 11.49,,8796087296,,2.3117647,-0.03595891,47237897,3.4 - 11.68,
24,600581.SS,,cn_market,3.56,3.4 - 3.56,31.504425,5457123840,,0.23183385,-0.20712692,42739892,2.89 - 4.49,
0,002588.SZ,,cn_market,5.87,5.78 - 5.95,36.234566,6790885376,0.003436426,0.59078586,-0.14680235,17422147,3.69 - 6.88,
1,002331.SZ,,cn_market,13.1,11.8 - 13.25,40.557274,5398143488,0.005529226,0.4702582,-0.3353627,11674124,8.91 - 19.71,
2,88E.L,,gb_market,0.485,0.461 - 0.5,,53335456,,1.9393939,-0.62109375,49162151,0.165 - 1.28,
3,002386.SZ,,cn_market,6.6,6.47 - 6.66,330.0,5153656320,0.0076804915,0.4193548,-0.11170928,19914337,4.65 - 7.43,
4,600198.SS,,cn_market,6.41,6.0 - 6.41,,5654312448,,0.37849456,-0.6659719,24790362,4.65 - 19.19,
5,002553.SZ,,cn_market,13.19,12.34 - 13.2,78.5119,4590119936,0.0076161465,1.8799126,-0.12822211,44972311,4.58 - 15.13,
6,600335.SS,,cn_market,4.92,4.82 - 5.01,27.954546,7167849472,0.012499999,0.14418602,-0.34048256,30505216,4.3 - 7.46,
7,600105.SS,,cn_market,3.15,3.0 - 3.16,,4349677568,0.019933555,0.13718416,-0.6057572,54771130,2.77 - 7.99,
8,603323.SS,,cn_market,4.94,4.83 - 4.95,9.320755,8907165696,0.030991735,0.15420556,-0.12566373,39508616,4.28 - 5.65,
9,002556.SZ,,cn_market,9.09,8.44 - 9.31,33.419117,8209315328,0.011806375,0.40930238,-0.13014351,11031691,6.45 - 10.45,
10,300184.SZ,,cn_market,3.81,3.54 - 3.83,41.413044,4488789504,0.015730338,0.15805471,-0.56605923,19327787,3.29 - 8.78,
11,600518.SS,,cn_market,1.94,1.86 - 1.94,,9649288192,0.012698413,0.16867475,-0.5975104,24324130,1.66 - 4.82,
12,000893.SZ,,cn_market,11.63,11.05 - 11.63,352.42426,8802782208,,1.1943395,0.0,7140657,5.3 - 11.63,
13,000655.SZ,,cn_market,7.45,7.1 - 7.53,20.810055,4435282944,,0.58510643,-0.18579234,28605768,4.7 - 9.15,
14,002428.SZ,,cn_market,11.29,10.75 - 11.49,,7373724672,,0.29770118,-0.42102563,21012317,8.7 - 19.5,
15,000839.SZ,,cn_market,2.19,2.09 - 2.2,,8584428032,,0.14062506,-0.4785714,26691795,1.92 - 4.2,
16,002184.SZ,,cn_market,19.21,17.11 - 19.21,38.965515,4598738944,0.0057273773,0.75433785,0.0,6780724,10.95 - 19.21,
17,600576.SS,,cn_market,3.7,3.5 - 3.73,,2291787264,,0.19741105,-0.2884615,11574390,3.09 - 5.2,
18,002125.SZ,,cn_market,7.61,7.23 - 7.62,190.25,4790358016,0.0049865227,0.20221172,-0.32535458,25405985,6.33 - 11.28,
19,002130.SZ,,cn_market,5.74,5.5 - 5.75,18.516129,7226258432,0.005376344,0.32563508,-0.1276596,37215492,4.33 - 6.58,
20,600477.SS,,cn_market,3.98,3.8 - 3.98,10.5291,8571885568,0.026246719,0.12747876,-0.28673834,15813533,3.53 - 5.58,
21,300067.SZ,,cn_market,4.38,4.24 - 4.43,33.18182,4081936640,0.018867925,0.29970333,-0.41286862,21018523,3.37 - 7.46,
22,600503.SS,,cn_market,3.66,3.54 - 3.67,13.024912,5864381952,0.0050420165,0.22000003,-0.2781065,28442430,3.0 - 5.07,
23,002807.SZ,,cn_market,4.18,4.09 - 4.2,9.393258,9078960128,0.04379562,0.09138379,-0.16232465,25151843,3.83 - 4.99,
24,600366.SS,,cn_market,6.58,6.4 - 6.62,44.761906,6508369920,0.00621118,0.31599998,-0.10719131,33301255,5.0 - 7.37,
0,300261.SZ,,cn_market,5.96,5.44 - 6.04,36.34146,5741321728,0.00915751,0.65096956,-0.37394962,16434437,3.61 - 9.52,
1,600090.SS,,cn_market,1.6,1.5 - 1.6,,2303456000,,0.3913044,-0.65442765,20562673,1.15 - 4.63,
