,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
0,TKK1.F,,dr_market,28.8,28.8 - 28.8,5.9999995,6111244800,0.042569444,0.23076922,-0.147929,12,23.4 - 33.8,
1,MJJ.F,,dr_market,21.2,21.2 - 21.2,12.740385,2108528640,0.014999999,0.35897437,-0.12396694,19,15.6 - 24.2,
2,8257.T,,jp_market,2626.0,2626.0 - 2627.0,,2106826624,,0.74601066,-0.01315295,1221,1504.0 - 2661.0,
3,0IQK.L,,gb_market,50.492,50.492 - 50.702,15.843113,5583961088,0.017810974,0.0,-0.0041418304,,50.492 - 50.702,
4,BLDA.F,,dr_market,5.25,5.25 - 5.25,19.160585,4999459840,0.075514026,0.517341,-0.1923077,97,3.46 - 6.5,
5,02M.DE,,de_market,23.145,23.145 - 23.46,13.248426,8774084608,0.008041818,1.7885542,-0.08590045,135,8.3 - 25.32,
6,5941.T,,jp_market,1013.0,1013.0 - 1013.0,15.972879,6384412160,0.009643202,0.3138781,-0.043437205,2003,771.0 - 1059.0,
7,JMPLF,Johnson Matthey,us_market,43.5,43.15 - 43.5,19.003931,8455834624,0.025046512,1.1024649,0.0,196,20.69 - 43.5,
8,1NR.F,,dr_market,31.0,31.0 - 31.0,27.531082,6368794624,0.028612904,1.3664122,-0.09883725,171,13.1 - 34.4,
9,MRCIF,,us_market,56.0,56.0 - 56.0,,8207752192,,0.71306217,0.0,1326,32.69 - 56.0,
10,6346.T,,jp_market,4080.0,4080.0 - 4080.0,10.966386,5033088000,,0.45662263,-0.009708738,903,2801.0 - 4120.0,
11,DDQ.F,,dr_market,66.26,66.26 - 66.26,35.244682,3079592704,,1.2234901,-0.024153156,8,29.8 - 67.9,
12,GAILF,,us_market,12.0,12.0 - 12.0,6.430868,9028872192,0.009366636,1.4,0.0,38,5.0 - 12.0,
13,BOALF,Boral,us_market,2.25,2.25 - 2.25,8.122744,4862654976,0.08711111,1.3684211,-0.4803695,280,0.95 - 4.33,
14,GEAGF,GEA,us_market,36.42,36.42 - 36.42,,6540594688,,0.85060966,-0.023592522,235,19.68 - 37.3,24.775509
15,2974.F,,jp_market,940.0,940.0 - 959.0,4.085376,3056880128,0.01898734,0.0,-0.019812305,,940.0 - 959.0,
16,8554.F,,jp_market,733.0,733.0 - 733.0,20.792557,5898766336,0.03342246,0.06231884,-0.30718336,1550,690.0 - 1058.0,
17,2919.F,,jp_market,3700.0,3700.0 - 3700.0,10.712466,7070108160,,0.27542228,-0.123222746,313,2901.0 - 4220.0,
18,2795.T,,jp_market,734.0,734.0 - 734.0,21.577448,3862887936,0.027247956,0.18387097,-0.15632184,836,620.0 - 870.0,
19,0V38.L,,gb_market,44.98,44.98 - 45.48,15.877162,9555461120,0.009526938,0.0,-0.010993844,,44.98 - 45.48,
