backmarketid,price,stockraw,pressurestocklimit,warranty,slug,state_value,state_label,title,price_new,merchant_slug,objectid,brand,warranty,size,storage,memory,model,processor_speed,processor_type,storage_type,date_release,keyboard_type_language,highlightresult_title_value
238499,661.0,68,20,12,dell-precision-m4800-15-core-i7-25-ghz-ssd-240-go-hdd-1-to-32-go-azerty-francais-pas-cher/238499.html#?l=4,4,Stallone,"Dell Precision m4800 15"" Core i7 2,5 GHz  - SSD 240 Go + HDD 1 To - 32 Go AZERTY - Français",2099.0,dell-precision-m4800-15-core-i7-25-ghz-ssd-240-go-hdd-1-to-32-go-azerty-francais-pas-cher/boutique-26/238499.html,336554,Dell,12.0,15,1240,32,Precision m4800,"2,5",Intel Core i7,HDD + SSD,2012,AZERTY - Français,"Dell Precision m4800 15"" Core i7 2,5 GHz  - SSD 240 Go + HDD 1 To - 32 Go AZERTY - Français"
287405,744.0,5,20,12,macbook-air-13-debut-2015-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/287405.html#?l=4,4,Stallone,"MacBook Air   13""   (Début 2015) - Core i7 2,2 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1419.0,macbook-air-13-debut-2015-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-4/287405.html,1132336,Apple,12.0,"13,3",256,8,MacBook Air,"2,2",Intel Core i7,SSD,Début 2015,AZERTY - Français,"MacBook Air   13""   (Début 2015) - Core i7 2,2 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
408420,835.0,10,20,12,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/408420.html#?l=4,4,Stallone,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz - SSD 256 Go - 8 Go AZERTY - Français",1500.0,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-668/408420.html,1284354,HP,12.0,14,256,8,EliteBook 840 G2,"2,3",Intel Core i5,SSD,2015,AZERTY - Français,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz - SSD 256 Go - 8 Go AZERTY - Français"
268045,131.0,36,20,12,hp-compaq-6000-pro-19-core-2-duo-3-ghz-hdd-250-go-4-go-pas-cher/268045.html#?l=2,2,Bon état,"Hp Compaq 6000 Pro 19"" Core 2 Duo 3 GHz - HDD 250 Go - 4 Go",489.0,hp-compaq-6000-pro-19-core-2-duo-3-ghz-hdd-250-go-4-go-pas-cher/boutique-230/268045.html,650914,HP,12.0,19,250,4,Compaq 6000 Pro,3,Intel Core 2 Duo,HDD,,,"Hp Compaq 6000 Pro 19"" Core 2 Duo 3 GHz - HDD 250 Go - 4 Go"
98518,299.0,95,20,12,lenovo-thinkpad-x240-12-core-i5-19-ghz-hdd-320-go-4-go-azerty-francais-pas-cher/98518.html#?l=4,4,Stallone,"Lenovo thinkpad X240 12"" Core i5 1,9 GHz  - HDD 320 Go - 4 Go AZERTY - Français",545.0,lenovo-thinkpad-x240-12-core-i5-19-ghz-hdd-320-go-4-go-azerty-francais-pas-cher/boutique-26/98518.html,208485,Lenovo,12.0,"12,5",320,4,thinkpad X240,"1,9",Intel Core i5,HDD,,AZERTY - Français,"Lenovo thinkpad X240 12"" Core i5 1,9 GHz  - HDD 320 Go - 4 Go AZERTY - Français"
26342,690.0,5,20,12,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-512-go-8-go-azerty-francais-pas-cher/26342.html#?l=4,4,Stallone,"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 512 Go - 8 Go AZERTY - Français",1599.0,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-512-go-8-go-azerty-francais-pas-cher/boutique-4/26342.html,748044,Apple,12.0,"13,3",512,8,MacBook Air,"1,6",Intel Core i5,SSD,Début 2015,AZERTY - Français,"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 512 Go - 8 Go AZERTY - Français"
347427,363.0,13,20,12,microsoft-surface-pro-3-12-core-i5-19-ghz-ssd-128-go-4-go-pas-cher/347427.html#?l=4,4,Stallone," Microsoft Surface Pro 3 12"" Core i5 1,9 GHz  - SSD 128 Go - 4 Go ",1899.0,microsoft-surface-pro-3-12-core-i5-19-ghz-ssd-128-go-4-go-pas-cher/boutique-5566/347427.html,1231872,Microsoft,12.0,"12,3",128,4,Microsoft Surface Pro 3,"1,9",Intel Core i5,SSD,Juin 2014,," Microsoft Surface Pro 3 12"" Core i5 1,9 GHz  - SSD 128 Go - 4 Go "
342451,448.99,3,20,12,dell-precision-m4800-15-core-i5-29-ghz-hdd-500-go-16-go-azerty-francais-pas-cher/342451.html#?l=3,3,État correct,"Dell Precision M4800 15"" Core i5 2,9 GHz - HDD 500 Go - 16 Go AZERTY - Français",1299.0,dell-precision-m4800-15-core-i5-29-ghz-hdd-500-go-16-go-azerty-francais-pas-cher/boutique-3165/342451.html,1345836,Dell,12.0,"15,6",500,16,Precision M4800,"2,9",Intel Core i5,HDD,Mars 2015,AZERTY - Français,"Dell Precision M4800 15"" Core i5 2,9 GHz - HDD 500 Go - 16 Go AZERTY - Français"
12492,637.0,5,20,12,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-256-go-4-go-azerty-francais-pas-cher/12492.html#?l=4,4,Stallone,"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 256 Go - 4 Go AZERTY - Français",1199.0,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-256-go-4-go-azerty-francais-pas-cher/boutique-4/12492.html,898165,Apple,12.0,"13,3",256,4,MacBook Air,"1,6",Intel Core i5,SSD,Début 2015,AZERTY - Français,"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 256 Go - 4 Go AZERTY - Français"
17443,969.0,1,20,12,macbook-pro-13-retina-fin-2016-core-i5-2-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/17443.html#?l=4,4,Stallone,"MacBook Pro   13"" Retina (Fin 2016) - Core i5 2 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1699.0,macbook-pro-13-retina-fin-2016-core-i5-2-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-1900/17443.html,1284458,Apple,12.0,"13,3",256,8,MacBook Pro,2,Intel Core i5,SSD,Fin 2016,AZERTY - Français,"MacBook Pro   13"" Retina (Fin 2016) - Core i5 2 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
332501,249.0,84,20,12,dell-optiplex-9020-micro-core-i5-32-ghz-ssd-240-go-ram-8-go-pas-cher/332501.html#?l=4,4,Stallone,"Dell OptiPlex 9020 Micro Core i5 3,2 GHz  - SSD 240 Go RAM 8 Go ",985.0,dell-optiplex-9020-micro-core-i5-32-ghz-ssd-240-go-ram-8-go-pas-cher/boutique-26/332501.html,1224966,,,,,,,,,,,,"Dell OptiPlex 9020 Micro Core i5 3,2 GHz  - SSD 240 Go RAM 8 Go "
101614,379.0,89,20,12,hp-probook-640-g1-14-core-i5-26-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/101614.html#?l=3,3,État correct,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 500 Go - 8 Go AZERTY - Français",799.0,hp-probook-640-g1-14-core-i5-26-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/boutique-26/101614.html,205723,HP,12.0,14,500,8,ProBook 640 G1,"2,6",Intel Core i5,HDD,2013,AZERTY - Français,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 500 Go - 8 Go AZERTY - Français"
351986,410.0,2,20,12,hp-probook-640-g1-14-core-i3-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/351986.html#?l=2,2,Bon état,"Hp Probook 640 G1 14"" Core i3 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français",599.0,hp-probook-640-g1-14-core-i3-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-77/351986.html,1293870,HP,12.0,14,256,8,Probook 640 G1,"2,4",Intel Core i3,SSD,Décembre 2014,AZERTY - Français,"Hp Probook 640 G1 14"" Core i3 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français"
322721,730.0,4,20,12,lenovo-thinkpad-x260-12-core-i3-23-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/322721.html#?l=4,4,Stallone,"Lenovo ThinkPad X260 12"" Core i3 2,3 GHz  - HDD 500 Go - 8 Go AZERTY - Français",1549.0,lenovo-thinkpad-x260-12-core-i3-23-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/boutique-668/322721.html,1075994,Lenovo,12.0,"12,5",500,8,ThinkPad X260,"2,3",Intel Core i3,HDD,Août 2016,AZERTY - Français,"Lenovo ThinkPad X260 12"" Core i3 2,3 GHz  - HDD 500 Go - 8 Go AZERTY - Français"
397899,745.0,9,20,12,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/397899.html#?l=3,3,État correct,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz - SSD 128 Go - 8 Go AZERTY - Français",980.0,hp-elitebook-840-g2-14-core-i5-23-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-668/397899.html,1239781,HP,12.0,14,128,8,EliteBook 840 G2,"2,3",Intel Core i5,SSD,2015,AZERTY - Français,"HP EliteBook 840 G2 14"" Core i5 2,3 GHz - SSD 128 Go - 8 Go AZERTY - Français"
249622,199.0,97,20,12,hp-elite-8300-sff-core-i5-34-ghz-ssd-240-go-ram-8-go-pas-cher/249622.html#?l=4,4,Stallone,"Hp Elite 8300 SFF Core i5 3,4 GHz - SSD 240 Go RAM 8 Go",599.0,hp-elite-8300-sff-core-i5-34-ghz-ssd-240-go-ram-8-go-pas-cher/boutique-26/249622.html,411962,,,,,,,,,,,,"Hp Elite 8300 SFF Core i5 3,4 GHz - SSD 240 Go RAM 8 Go"
269830,349.0,157,20,12,dell-optiplex-7010-sff-core-i7-34-ghz-ssd-250-go-ram-12-go-pas-cher/269830.html#?l=4,4,Stallone,"Dell OptiPlex 7010 SFF Core i7 3,4 GHz - SSD 250 Go RAM 12 Go",519.0,dell-optiplex-7010-sff-core-i7-34-ghz-ssd-250-go-ram-12-go-pas-cher/boutique-26/269830.html,836299,,,,,,,,,,,,"Dell OptiPlex 7010 SFF Core i7 3,4 GHz - SSD 250 Go RAM 12 Go"
71509,479.0,2,20,12,macbook-air-13-mi-2013-core-i5-13-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/71509.html#?l=4,4,Stallone,"MacBook Air   13""   (Mi-2013) - Core i5 1,3 GHz  - SSD 128 Go - 4 Go AZERTY - Français",800.0,macbook-air-13-mi-2013-core-i5-13-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/boutique-94/71509.html,1027729,Apple,12.0,"13,3",128,4,MacBook Air,"1,3",Intel Core i5,SSD,Mi-2013,AZERTY - Français,"MacBook Air   13""   (Mi-2013) - Core i5 1,3 GHz  - SSD 128 Go - 4 Go AZERTY - Français"
236503,1056.0,3,20,12,macbook-air-13-retina-fin-2018-core-i5-16-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/236503.html#?l=3,3,État correct,"MacBook Air   13"" Retina (Fin 2018) - Core i5 1,6 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1599.0,macbook-air-13-retina-fin-2018-core-i5-16-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-3371/236503.html,1220394,Apple,12.0,"13,3",256,8,MacBook Air,"1,6",Intel Core i5,SSD,Fin 2018,AZERTY - Français,"MacBook Air   13"" Retina (Fin 2018) - Core i5 1,6 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
263045,70.0,4,20,12,dell-optiplex-380-mt-core-2-duo-3-ghz-hdd-500-go-ram-4-go-pas-cher/263045.html#?l=2,2,Bon état,Dell OptiPlex 380 MT Core 2 Duo 3 GHz - HDD 500 Go RAM 4 Go,789.0,dell-optiplex-380-mt-core-2-duo-3-ghz-hdd-500-go-ram-4-go-pas-cher/boutique-4522/263045.html,1110112,,,,,,,,,,,,Dell OptiPlex 380 MT Core 2 Duo 3 GHz - HDD 500 Go RAM 4 Go
26069,549.0,16,20,24,mac-mini-octobre-2014-core-i5-26-ghz-hdd-1-to-8go-pas-cher/26069.html#?l=0,0,Comme neuf,"Mac mini (Octobre 2014) Core i5 2,6 GHz - HDD 1 To - 8Go",1007.0,mac-mini-octobre-2014-core-i5-26-ghz-hdd-1-to-8go-pas-cher/boutique-1853/26069.html,1211724,Apple,24.0,,1000,8,Mac mini,"2,6",Intel Core i5,HDD,Octobre 2014,,"Mac mini (Octobre 2014) Core i5 2,6 GHz - HDD 1 To - 8Go"
20412,569.0,20,20,12,macbook-pro-13-mi-2012-core-i5-25-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/20412.html#?l=4,4,Stallone,"MacBook Pro 13"" (Mi-2012) - Core i5 2,5 GHz - SSD 128 Go - 8 Go AZERTY - Français",1250.0,macbook-pro-13-mi-2012-core-i5-25-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-604/20412.html,133708,Apple,12.0,"13,3",128,8,MacBook Pro,"2,5",Intel Core i5,SSD,Mi-2012,AZERTY - Français,"MacBook Pro 13"" (Mi-2012) - Core i5 2,5 GHz - SSD 128 Go - 8 Go AZERTY - Français"
41919,1149.0,1,20,12,macbook-pro-touch-bar-13-retina-mi-2017-core-i5-31-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/41919.html#?l=4,4,Stallone,"MacBook Pro Touch Bar 13"" Retina (Mi-2017) - Core i5 3,1 GHz - SSD 256 Go - 8 Go AZERTY - Français",2000.0,macbook-pro-touch-bar-13-retina-mi-2017-core-i5-31-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-94/41919.html,883774,Apple,12.0,"13,3",256,8,MacBook Pro,"3,1",Intel Core i5,SSD,Mi-2017,AZERTY - Français,"MacBook Pro Touch Bar 13"" Retina (Mi-2017) - Core i5 3,1 GHz - SSD 256 Go - 8 Go AZERTY - Français"
341062,2499.0,10,20,12,macbook-pro-touch-bar-15-retina-mi-2019-core-i9-23-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/341062.html#?l=0,0,Comme neuf,"MacBook Pro Touch Bar 15"" Retina (Mi-2019) - Core i9 2,3 GHz - SSD 512 Go - 16 Go AZERTY - Français",3506.0,macbook-pro-touch-bar-15-retina-mi-2019-core-i9-23-ghz-ssd-512-go-16-go-azerty-francais-pas-cher/boutique-4/341062.html,1222398,Apple,12.0,"15,4",512,16,MacBook Pro,"2,3",Intel Core i9,SSD,Mi-2019,AZERTY - Français,"MacBook Pro Touch Bar 15"" Retina (Mi-2019) - Core i9 2,3 GHz - SSD 512 Go - 16 Go AZERTY - Français"
230818,300.0,2,20,12,hp-probook-430-g3-13-core-i3-23-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/230818.html#?l=1,1,Très bon état,"Hp ProBook 430 G3 13"" Core i3 2,3 GHz - HDD 500 Go - 4 Go AZERTY - Français",990.0,hp-probook-430-g3-13-core-i3-23-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/boutique-1934/230818.html,1210411,HP,12.0,"13,3",500,4,ProBook 430 G3,"2,3",Intel Core i3,HDD,,AZERTY - Français,"Hp ProBook 430 G3 13"" Core i3 2,3 GHz - HDD 500 Go - 4 Go AZERTY - Français"
1775,509.0,20,20,12,macbook-pro-13-debut-2011-core-i5-23-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/1775.html#?l=4,4,Stallone,"MacBook Pro 13"" (Début 2011) - Core i5 2,3 GHz - HDD 500 Go - 4 Go AZERTY - Français",1150.0,macbook-pro-13-debut-2011-core-i5-23-ghz-hdd-500-go-4-go-azerty-francais-pas-cher/boutique-604/1775.html,97175,Apple,12.0,"13,3",500,4,MacBook Pro,"2,3",Intel Core i5,HDD,Début 2011,AZERTY - Français,"MacBook Pro 13"" (Début 2011) - Core i5 2,3 GHz - HDD 500 Go - 4 Go AZERTY - Français"
162470,654.0,20,20,12,macbook-pro-13-mi-2012-core-i7-29-ghz-ssd-500-go-16-go-azerty-francais-pas-cher/162470.html#?l=4,4,Stallone,"MacBook Pro 13"" (Mi-2012) - Core i7 2,9 GHz - SSD 500 Go - 16 Go AZERTY - Français",1849.0,macbook-pro-13-mi-2012-core-i7-29-ghz-ssd-500-go-16-go-azerty-francais-pas-cher/boutique-94/162470.html,371866,Apple,12.0,"13,3",500,16,MacBook Pro,"2,9",Intel Core i7,SSD,Mi-2012,AZERTY - Français,"MacBook Pro 13"" (Mi-2012) - Core i7 2,9 GHz - SSD 500 Go - 16 Go AZERTY - Français"
41918,999.0,1,20,12,macbook-pro-13-retina-mi-2017-core-i5-23-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/41918.html#?l=2,2,Bon état,"MacBook Pro   13"" Retina (Mi-2017) - Core i5 2,3 GHz  - SSD 128 Go - 8 Go AZERTY - Français",1499.0,macbook-pro-13-retina-mi-2017-core-i5-23-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-1341/41918.html,1262405,Apple,12.0,"13,3",128,8,MacBook Pro,"2,3",Intel Core i5,SSD,Mi-2017,AZERTY - Français,"MacBook Pro   13"" Retina (Mi-2017) - Core i5 2,3 GHz  - SSD 128 Go - 8 Go AZERTY - Français"
40630,80.0,49,20,12,hp-prodesk-400-g1-sff-pentium-3-ghz-hdd-500-go-ram-4-go-pas-cher/40630.html#?l=2,2,Bon état,Hp Prodesk 400 G1 SFF Pentium 3 GHz - HDD 500 Go RAM 4 Go,399.0,hp-prodesk-400-g1-sff-pentium-3-ghz-hdd-500-go-ram-4-go-pas-cher/boutique-230/40630.html,1310651,,,,,,,,,,,,Hp Prodesk 400 G1 SFF Pentium 3 GHz - HDD 500 Go RAM 4 Go
20989,147.0,100,20,12,lenovo-thinkcentre-m91p-core-i5-31-ghz-hdd-500-go-ram-8-go-pas-cher/20989.html#?l=3,3,État correct,"Lenovo ThinkCentre M91P Core i5 3,1 GHz  - HDD 500 Go RAM 8 Go ",479.0,lenovo-thinkcentre-m91p-core-i5-31-ghz-hdd-500-go-ram-8-go-pas-cher/boutique-26/20989.html,1242099,,,,,,,,,,,,"Lenovo ThinkCentre M91P Core i5 3,1 GHz  - HDD 500 Go RAM 8 Go "
391971,199.0,8,20,12,hp-elitedesk-800-g1-sff-core-i5-32-ghz-ssd-240-go-hdd-500-go-ram-8-go-pas-cher/391971.html#?l=1,1,Très bon état,"Hp EliteDesk 800 G1 SFF Core i5 3,2 GHz - SSD 240 Go + HDD 500 Go RAM 8 Go",409.0,hp-elitedesk-800-g1-sff-core-i5-32-ghz-ssd-240-go-hdd-500-go-ram-8-go-pas-cher/boutique-3058/391971.html,1359272,,,,,,,,,,,,"Hp EliteDesk 800 G1 SFF Core i5 3,2 GHz - SSD 240 Go + HDD 500 Go RAM 8 Go"
341310,530.0,4,20,12,dell-latitude-e5470-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/341310.html#?l=2,2,Bon état,"Dell Latitude E5470 14"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français",570.0,dell-latitude-e5470-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-2682/341310.html,1025466,Dell,12.0,14,256,8,Latitude E5470,"2,4",Intel Core i5,SSD,Août 2017,AZERTY - Français,"Dell Latitude E5470 14"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
110992,590.0,1,20,12,microsoft-surface-pro-2017-12-core-i5-26-ghz-ssd-128-go-4-go-pas-cher/110992.html#?l=3,3,État correct,"Microsoft Surface Pro (2017) 12"" Core i5 2,6 GHz  - SSD 128 Go - 4 Go ",1149.0,microsoft-surface-pro-2017-12-core-i5-26-ghz-ssd-128-go-4-go-pas-cher/boutique-6275/110992.html,1299279,Microsoft,12.0,"12,3",128,4,Surface Pro (2017),"2,6",Intel Core i5,SSD,2017,,"Microsoft Surface Pro (2017) 12"" Core i5 2,6 GHz  - SSD 128 Go - 4 Go "
404199,599.0,11,20,12,microsoft-surface-pro-4-12-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/404199.html#?l=4,4,Stallone,"Microsoft Surface Pro 4 12"" Core i7 2,2 GHz - SSD 256 Go - 8 Go AZERTY - Français",1700.0,microsoft-surface-pro-4-12-core-i7-22-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-170/404199.html,1359251,Microsoft,12.0,"12,3",256,8,Surface Pro 4,"2,2",Intel Core i7,SSD,2015,AZERTY - Français,"Microsoft Surface Pro 4 12"" Core i7 2,2 GHz - SSD 256 Go - 8 Go AZERTY - Français"
155470,895.0,1,20,12,macbook-air-13-mi-2017-core-i7-22-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/155470.html#?l=3,3,État correct,"MacBook Air   13""   (Mi-2017) - Core i7 2,2 GHz  - SSD 128 Go - 8 Go AZERTY - Français",1299.0,macbook-air-13-mi-2017-core-i7-22-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-3133/155470.html,1361055,Apple,12.0,"13,3",128,8,MacBook Air,"2,2",Intel Core i7,SSD,Mi-2017,AZERTY - Français,"MacBook Air   13""   (Mi-2017) - Core i7 2,2 GHz  - SSD 128 Go - 8 Go AZERTY - Français"
355461,239.0,2,20,12,acer-veriton-z4710g-21-pentium-33-ghz-hdd-500-go-4-go-pas-cher/355461.html#?l=2,2,Bon état,"Acer Veriton Z4710G 21"" Pentium 3,3 GHz - HDD 500 Go - 4 Go",750.0,acer-veriton-z4710g-21-pentium-33-ghz-hdd-500-go-4-go-pas-cher/boutique-1211/355461.html,1076482,Acer,12.0,"21,5",500,4,Veriton Z4710G,"3,3",Intel Pentium,HDD,2016,,"Acer Veriton Z4710G 21"" Pentium 3,3 GHz - HDD 500 Go - 4 Go"
158304,369.0,2,20,12,lenovo-thinkpad-x250-12-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/158304.html#?l=4,4,Stallone,"Lenovo ThinkPad X250 12"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1300.0,lenovo-thinkpad-x250-12-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-2951/158304.html,805276,Lenovo,12.0,12,256,8,ThinkPad X250,"2,3",Intel Core i5,SSD,2015,AZERTY - Français,"Lenovo ThinkPad X250 12"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
18217,409.0,6,20,12,macbook-air-11-mi-2012-core-i5-17-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/18217.html#?l=4,4,Stallone,"MacBook Air   11""   (Mi-2012) - Core i5 1,7 GHz  - SSD 128 Go - 4 Go AZERTY - Français",1099.0,macbook-air-11-mi-2012-core-i5-17-ghz-ssd-128-go-4-go-azerty-francais-pas-cher/boutique-94/18217.html,162920,Apple,12.0,"11,6",128,4,MacBook Air,"1,7",Intel Core i5,SSD,Mi-2012,AZERTY - Français,"MacBook Air   11""   (Mi-2012) - Core i5 1,7 GHz  - SSD 128 Go - 4 Go AZERTY - Français"
247714,420.0,5,20,12,dell-latitude-e5450-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/247714.html#?l=4,4,Stallone,"Dell Latitude E5450 14"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français",799.0,dell-latitude-e5450-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-77/247714.html,739120,Dell,12.0,"14,1",256,8,Latitude E5450,"2,3",Intel Core i5,SSD,2015,AZERTY - Français,"Dell Latitude E5450 14"" Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
339938,479.0,11,20,12,lenovo-thinkpad-t460-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/339938.html#?l=2,2,Bon état,"Lenovo ThinkPad T460 14"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français",610.0,lenovo-thinkpad-t460-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-82/339938.html,1336309,Lenovo,12.0,14,256,8,ThinkPad T460,"2,4",Intel Core i5,SSD,Février 2016,AZERTY - Français,"Lenovo ThinkPad T460 14"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
3796,579.0,20,20,12,macbook-pro-13-mi-2012-core-i5-25-ghz-hdd-750-go-8-go-azerty-francais-pas-cher/3796.html#?l=4,4,Stallone,"MacBook Pro   13""   (Mi-2012) - Core i5 2,5 GHz  - HDD 750 Go - 8 Go AZERTY - Français",1350.0,macbook-pro-13-mi-2012-core-i5-25-ghz-hdd-750-go-8-go-azerty-francais-pas-cher/boutique-604/3796.html,214753,Apple,12.0,"13,3",750,8,MacBook Pro,"2,5",Intel Core i5,HDD,Mi-2012,AZERTY - Français,"MacBook Pro   13""   (Mi-2012) - Core i5 2,5 GHz  - HDD 750 Go - 8 Go AZERTY - Français"
76932,669.0,1,20,12,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-128-go-8-go-qwerty-anglais-us-pas-cher/76932.html#?l=2,2,Bon état,"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 128 Go - 8 Go QWERTY - Anglais (US)",1099.0,macbook-air-13-debut-2015-core-i5-16-ghz-ssd-128-go-8-go-qwerty-anglais-us-pas-cher/boutique-5581/76932.html,1143065,Apple,12.0,"13,3",128,8,MacBook Air,"1,6",Intel Core i5,SSD,Début 2015,QWERTY - Anglais (US),"MacBook Air   13""   (Début 2015) - Core i5 1,6 GHz  - SSD 128 Go - 8 Go QWERTY - Anglais (US)"
177865,1149.0,1,20,12,macbook-air-13-retina-fin-2018-core-i5-16-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/177865.html#?l=2,2,Bon état,"MacBook Air 13"" Retina (Fin 2018) - Core i5 1,6 GHz - SSD 256 Go - 8 Go AZERTY - Français",1599.0,macbook-air-13-retina-fin-2018-core-i5-16-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-3371/177865.html,1214538,Apple,12.0,"13,3",256,8,MacBook Air,"1,6",Intel Core i5,SSD,Fin 2018,AZERTY - Français,"MacBook Air 13"" Retina (Fin 2018) - Core i5 1,6 GHz - SSD 256 Go - 8 Go AZERTY - Français"
9727,162.0,94,20,12,dell-optiplex-380-dt-22-intel-core-2-duo-29-ghz-hdd-250-go-8-go-pas-cher/9727.html#?l=4,4,Stallone,"Dell Optiplex 380 DT 22"" Intel Core 2 Duo 2.9 GHz - HDD 250 Go - 8 Go",616.0,dell-optiplex-380-dt-22-intel-core-2-duo-29-ghz-hdd-250-go-8-go-pas-cher/boutique-26/9727.html,209392,Dell,12.0,22 pouces,250,8,Optiplex 380 DT,"2,9",Intel Core 2 Duo,HDD,,,"Dell Optiplex 380 DT 22"" Intel Core 2 Duo 2.9 GHz - HDD 250 Go - 8 Go"
338287,387.0,83,20,12,hp-compaq-elite-8300-core-i7-34-ghz-ssd-512-go-ram-16-go-pas-cher/338287.html#?l=4,4,Stallone,"Hp Compaq Elite 8300 Core i7 3,4 GHz - SSD 512 Go RAM 16 Go",388.0,hp-compaq-elite-8300-core-i7-34-ghz-ssd-512-go-ram-16-go-pas-cher/boutique-26/338287.html,998380,,,,,,,,,,,,"Hp Compaq Elite 8300 Core i7 3,4 GHz - SSD 512 Go RAM 16 Go"
