name;description;address;geometry;placepageuri;geo_point_2d
Martin Thévenot Monique;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321c7d5a32b:0xc87ca49776350781&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";11 Rue Roussanes, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6192639999999999, 44.205347]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb321c7d5a32b:0xc87ca49776350781&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.205347,0.619264
Mounac Cazals Muriel;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb3224f8ddd4d:0x8136ef21279c6fa2&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";20 Cours Washington, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.618796, 44.201873]}";"https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb3224f8ddd4d:0x8136ef21279c6fa2&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.201873,0.618796
Pilin Dominique;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f567b10a5:0x13c51c5126e5f919&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";111 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.620539, 44.203885]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31f567b10a5:0x13c51c5126e5f919&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.203885,0.620539
Imad Chaaban;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb36a6d120e0d:0xce2d326098cfb8af&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";748 Avenue du Général Leclerc, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.621157, 44.185885999999996]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb36a6d120e0d:0xce2d326098cfb8af&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.185886,0.621157
Daumas Laurent Emmanuel Michel;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb321a090cb9f:0x3437faf3804962fb&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";67 Boulevard de la République, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.618074, 44.205031]}";"https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb321a090cb9f:0x3437faf3804962fb&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.205031,0.618074
Lamey Bernard;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb327850584cf:0x76be4e7a597208e9&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";227 Rue Lamennais, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.612726, 44.20787]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb327850584cf:0x76be4e7a597208e9&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.20787,0.612726
Gouget Jean-François;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb323f44f55ef:0xec6d2a907637bfcf&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";21 Rue des Colonels Lacuée, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6157600000000001, 44.202615]}";"https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb323f44f55ef:0xec6d2a907637bfcf&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.202615,0.61576
Debats Pierre;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31898d553d3:0x74a601845415d36c&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";50 Boulevard du Président Carnot, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.62067, 44.202218]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31898d553d3:0x74a601845415d36c&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.202218,0.62067
Kfoury Joseph;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb31970549787:0x59d4ec64179c4118&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";94 Rue Emile Zola, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.6243839999999999, 44.201554]}";"https://www.google.com/earth/rpc/entity?lat=44.203466500000005&lng=0.6191125&fid=0x12abb31970549787:0x59d4ec64179c4118&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.201554,0.624384
Chellier Marc;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31ea0e652ef:0x58841cb956a529be&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";31 Cours du 14 Juillet, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.625108, 44.204088]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31ea0e652ef:0x58841cb956a529be&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.204088,0.625108
Loisillon Franck;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31b508fcf65:0xdb7c28e75c3eb68f&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";197 Avenue Jean Jaurès, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.628518, 44.203348]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31b508fcf65:0xdb7c28e75c3eb68f&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.203348,0.628518
Girard Alain;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31e7ab97efd:0xe278017ccd2f8de5&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";19 Boulevard Sylvain Dumon, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.62475, 44.206452]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb31e7ab97efd:0xe278017ccd2f8de5&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.206452,0.62475
Burny-Pichon Sylvie;"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32054729d45:0x18a73daba83f1215&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)"";</script></body></html>";51 Bis Rue des Cornières, 47000 Agen;"{""type"": ""Point"", ""coordinates"": [0.618201, 44.206181]}";"https://www.google.com/earth/rpc/entity?lat=44.20106305&lng=0.6302079&fid=0x12abb32054729d45:0x18a73daba83f1215&q=médecin généraliste à proximité de Agen&hl=fr&gl=fr&client=earth-client&cv=7.1.2.2041&useragent=GoogleEarth/7.1.2.2041(Windows;Microsoft Windows (6.1.7601.1);fr;kml:2.2;client:Free;type:default)";44.206181,0.618201
